Decoy,HostName,Failure Rate,New Flows,Failed Decoys
198.108.199.9,www.nmc.edu,0.25,141,47
141.211.4.38,remotesupport-qa.it.umich.edu,0.25,111,37
141.211.3.17,*.dsc.umich.edu,0.25,102,34
141.211.217.192,www.studentlife.umich.edu,0.25,102,34
141.211.3.7,*.dsc.umich.edu,0.25,87,29
141.212.113.216,vision.eecs.umich.edu,0.25,84,28
136.228.56.130,www.glcomets.net,0.25,75,25
198.111.176.169,Unknown,0.25,3,1
141.211.55.23,Unknown,0.25,3,1
136.228.36.82,www.tbaisd.k12.mi.us,0.25044404973357015,844,282
141.211.4.224,proxy.lib.umich.edu,0.25069637883008355,269,90
198.108.220.113,www.copesd.org,0.2508532423208191,439,147
141.214.120.27,motion.med.umich.edu,0.2508591065292096,218,73
141.211.32.93,tlescore.isr.umich.edu,0.25102880658436216,182,61
141.211.217.89,melanomaally.org,0.2511013215859031,340,114
141.213.128.183,ergophiljournal.org,0.25118483412322273,158,53
198.110.48.190,*.muskegonisd.org,0.2512820512820513,146,49
141.211.194.90,fms.bf.umich.edu,0.25133689839572193,140,47
141.211.211.216,mmtsb.org,0.25149700598802394,125,42
141.218.143.80,clubsecrets.cs.wmich.edu,0.2515527950310559,723,243
141.215.70.136,itsumvpn.umd.umich.edu,0.25157232704402516,119,40
198.110.194.34,www-library3.nmu.edu,0.2517482517482518,107,36
141.214.120.66,medstudentauxiliary.umms.med.umich.edu,0.25183374083129584,306,103
207.73.217.14,msu-elk.osris.org,0.25190839694656486,490,165
141.211.4.10,itservices-qa.dsc.umich.edu,0.2520193861066236,463,156
141.211.3.86,www.dsc.umich.edu,0.25210084033613445,89,30
141.211.4.13,mprint-test.dsc.umich.edu,0.25225225225225223,166,56
198.110.203.136,umc-media.nmu.edu,0.25225225225225223,83,28
141.211.28.114,itscommweb-dev.itd.umich.edu,0.25225225225225223,83,28
208.68.25.150,www.remc1.net,0.2524698133918771,681,230
141.211.48.140,opal.wuom.univrel.umich.edu,0.25252525252525254,74,25
136.228.56.155,www.glcomets.net,0.25263157894736843,71,24
141.219.60.80,sys.bio.mtu.edu,0.25280898876404495,133,45
141.211.147.134,bam-macc-2.umnet.umich.edu,0.2528925619834711,452,153
141.211.3.68,www.dsc.umich.edu,0.25304136253041365,307,104
141.211.235.33,projects.dpss.umich.edu,0.25316455696202533,177,60
141.214.120.19,metlims.med.umich.edu,0.25316455696202533,177,60
198.108.148.36,www.med.wmich.edu,0.2532188841201717,348,118
67.194.232.72,snowfox.asuscomm.com,0.2532467532467532,115,39
198.108.221.111,powerschool.cma.edu,0.25327510917030566,513,174
136.228.36.65,www.tbaisd.org,0.25333333333333335,168,57
141.214.9.180,d-mhealth.med.umich.edu,0.25333333333333335,56,19
141.211.182.40,www.lsi.umich.edu,0.2536231884057971,103,35
192.138.137.10,www.kettering.edu,0.25384615384615383,97,33
141.211.168.165,*.dev.lib.umich.edu,0.2538860103626943,144,49
141.211.55.40,bravo.sph.umich.edu,0.25390625,191,65
141.215.69.68,support.umd.umich.edu,0.25396825396825395,141,48
141.211.20.238,www.dsc.umich.edu,0.25396825396825395,94,32
198.111.164.106,www.cantonpl.org,0.25405405405405407,138,47
141.211.211.217,viperdb.org,0.2545454545454545,123,42
141.211.4.145,status.its.umflint.edu,0.2545454545454545,82,28
141.212.115.203,lamport.eecs.umich.edu,0.25471698113207547,79,27
141.213.3.34,plasmapictureoftheday.org,0.2549019607843137,76,26
141.214.2.170,afibmobile.med.umich.edu,0.255,149,51
141.211.7.149,www-personal.umich.edu,0.2550335570469799,111,38
141.211.211.197,ipt.lsa.umich.edu,0.25507246376811593,257,88
141.211.21.147,shibboleth.umich.edu,0.2553191489361702,70,24
141.211.3.56,www.dsc.umich.edu,0.2553846153846154,726,249
141.214.120.80,askmusic.med.umich.edu,0.25555555555555554,402,138
141.214.120.18,neurodegenerate.med.umich.edu,0.25555555555555554,201,69
141.217.42.231,ansible.eng.wayne.edu,0.25555555555555554,67,23
207.73.7.2,vpn.norcocmh.org,0.25555555555555554,67,23
141.211.153.14,auth-interstitial.it.umich.edu,0.2556390977443609,99,34
141.212.115.132,eecs312.eecs.umich.edu,0.2556390977443609,99,34
141.211.25.230,msetup.its.umich.edu,0.2556818181818182,131,45
141.215.60.34,lamp.cob.umd.umich.edu,0.2559055118110236,189,65
141.214.2.41,miwmp.com,0.2560386473429952,154,53
141.211.94.206,www2-dev.bus.umich.edu,0.25609756097560976,61,21
141.211.211.81,lsa-bomgar.lsa.umich.edu,0.2565789473684211,113,39
